第1道答案: 9’2051/4181
第4683道答案: 1464737/4627866
第4684道答案: 4’6885/15092
第4685道答案: 5’2957920/4374243
第4686道答案: 5’83257/98340
第4687道答案: 3’151/731
第4688道答案: 328106363/701519090
第4689道答案: 439535797/852849126
第4690道答案: 38’16881239/18663060
第4691道答案: 1’367763/415740
第4692道答案: 273329327/421157707
第4693道答案: 49’19/27
第4694道答案: 15455846/70815183
第4695道答案: 1’10283/11736
第4696道答案: 3978720/35909461
第4697道答案: 87811/356850
第4698道答案: 1’612195971/1338283259
第4699道答案: 9’3931/6625
第4700道答案: 26651/50490
第4701道答案: 1’20218498/22063935
第4702道答案: 1’7215291/54899390
第4703道答案: 20’406233/536452
第4704道答案: 4’411617/8373684
第4705道答案: 1987/3010
第4706道答案: 8’46237519/84874140
第4707道答案: 164796597/520172813
第4708道答案: 1’7591/25420
第4709道答案: 4’43571676/165871093
第4710道答案: 7912360/23478273
第4711道答案: 1745’16941/42427
第4712道答案: 335768/1271205
第4713道答案: 17155/48093
第4714道答案: 452/843
第4715道答案: 38’4271/7176
第4716道答案: 8’12906/58993
第4717道答案: 1’215306/408591
第4718道答案: 5798492/24957075
第4719道答案: 2324948/4301889
第4720道答案: 2’147023211/485290651
第4721道答案: 13’6283/9416
第4722道答案: 23461/42160
第4723道答案: 1’5521/31540
第4724道答案: 22896593/98301465
第4725道答案: 12’11/12
第4726道答案: 1’66315046/278629439
第4727道答案: 1224614/31465035
第4728道答案: 99335/209842
第4729道答案: 36138/42539
第4730道答案: 1075/8769
第4731道答案: 4’4340421/7475330
第4732道答案: 4470/12691
第4733道答案: 2’90717/106148
第4734道答案: 7’39/232
第4735道答案: 24472/70691
第4736道答案: 1’721164773/1224485629
第4737道答案: 2’11303137/42905674
第4738道答案: 7512667/10105004
第4739道答案: 1’57005/3976434
第4740道答案: 23215647/151971500
第4741道答案: 493486825/580633624
第4742道答案: 1’31903845/42490343
第4743道答案: 1’3123/752629
第4744道答案: 1504300/3267847
第4745道答案: 4’1141723/1812630
第4746道答案: 21’557/650
第4747道答案: 221833/257136
第4748道答案: 7’1902311/2614590
第4749道答案: 273271534/1845122713
第4750道答案: 3’4703529/7475120
第4751道答案: 9’2159307/3813812
第4752道答案: 3’142202231/174519200
第4753道答案: 5’1447/6270
第4754道答案: 7’17/94
第4755道答案: 3’32/91
第4756道答案: 10883907/13908307
第4757道答案: 28000/48127
第4758道答案: 9’10585/12566
第4759道答案: 1’591627049/799628912
第4760道答案: 891963/1191224
第4761道答案: 19565/66483
第4762道答案: 183720768/732366809
第4763道答案: 14’3970/9591
第4764道答案: 1’186481015/1733478484
第4765道答案: 33165067/78651720
第4766道答案: 2454/2725
第4767道答案: 2’18266791/19795644
第4768道答案: 3’9049520/11007897
第4769道答案: 11’14924219/15266385
第4770道答案: 2’307028179/576977822
第4771道答案: 1’299/426
第4772道答案: 1’1627183/10744578
第4773道答案: 26182098/193077287
第4774道答案: 50042816/277726685
第4775道答案: 501/8878
第4776道答案: 42147/80272
第4777道答案: 2’10302/73405
第4778道答案: 8’95856478/247619621
第4779道答案: 476950079/1802467240
第4780道答案: 3’3894159/8237047
第4781道答案: 1’52128419/268815943
第4782道答案: 257/360
第4783道答案: 3’789173/7069100
第4784道答案: 14’34977/84425
第4785道答案: 1132120689/1946101480
第4786道答案: 45567023/954056593
第4787道答案: 14728956/52597643
第4788道答案: 25’497225/2251063
第4789道答案: 737/23142
第4790道答案: 5’100894367/124107768
第4791道答案: 36’94564/568425
第4792道答案: 929553247/1907476696
第4793道答案: 197675717/1223646172
第4794道答案: 2’152498/163831
第4795道答案: 3’476068505/478263634
第4796道答案: 1’1294463/20994337
第4797道答案: 101993/145780
第4798道答案: 55745729/145789772
第4799道答案: 4779125/14083776
第4800道答案: 1’10267/565785
第4801道答案: 2752/504125
第4802道答案: 74’3082331/11974820
第4803道答案: 6575211/7231246
第4804道答案: 1’2185/94843
第4805道答案: 1’96279358/587283939
第4806道答案: 5’45920687/66400290
第4807道答案: 139039343/325380250
第4808道答案: 1’1295078/1386775
第4809道答案: 5531547/49193323
第4810道答案: 3’151215/168632
第4811道答案: 1’1368667/5507304
第4812道答案: 6’15017/23316
第4813道答案: 9’3397833/5208974
第4814道答案: 1’677/5553
第4815道答案: 497060/631813
第4816道答案: 2’26423/103040
第4817道答案: 50573/157472
第4818道答案: 168021/959078
第4819道答案: 1’39601757/181004540
第4820道答案: 1’25373/166852
第4821道答案: 195953/231435
第4822道答案: 118595/1761606
第4823道答案: 1’39019/83139
第4824道答案: 2’17613/41720
第4825道答案: 1423224089/1640217324
第4826道答案: 5’19833/44486
第4827道答案: 14’108953/375390
第4828道答案: 6326643/14483014
第4829道答案: 2’74472341/613714712
第4830道答案: 3’259/318
第4831道答案: 2’430789/1011700
第4832道答案: 5’44143/62730
第4833道答案: 5887/16536
第4834道答案: 1173029/2259072
第4835道答案: 522/949
第4836道答案: 556242888/1919270245
第4837道答案: 84503/424992
第4838道答案: 8’689817/1390610
第4839道答案: 8069141/8802729
第4840道答案: 636906478/1684543651
第4841道答案: 1’574054493/990034286
第4842道答案: 13’989701/1634955
第4843道答案: 6’1203295/2236619
第4844道答案: 94728663/231439328
第4845道答案: 7’2993/4557
第4846道答案: 1796260/12241999
第4847道答案: 1’835355/1109056
第4848道答案: 23504/114235
第4849道答案: 2’2381/3977
第4850道答案: 5’712582/775779
第4851道答案: 8479899/12659767
第4852道答案: 231/22382
第4853道答案: 1’7107/24806
第4854道答案: 162745741/400932384
第4855道答案: 13’199693/207564
第4856道答案: 18’2540223/4934765
第4857道答案: 5793779/15463875
第4858道答案: 30’76485/91352
第4859道答案: 23458/565683
第4860道答案: 181429143/507761297
第4861道答案: 2’3626513/29063916
第4862道答案: 3’6786123/31340881
第4863道答案: 302257055/477582706
第4864道答案: 2’13002099/296916803
第4865道答案: 609743319/1570839614
第4866道答案: 3216567/5057486
第4867道答案: 1’35275/68456
第4868道答案: 2’6965309/19745888
第4869道答案: 32’1029943/11020396
第4870道答案: 7205/15523
第4871道答案: 333629/760452
第4872道答案: 32’814511/1170532
第4873道答案: 25513/30192
第4874道答案: 1370761/7824816
第4875道答案: 169157/232603
第4876道答案: 41’2098/2489
第4877道答案: 10’686365/1612284
第4878道答案: 1’919/10508
第4879道答案: 11603/71910
第4880道答案: 2’1291/6715
第4881道答案: 46’509/731
第4882道答案: 1’27147253/28449696
第4883道答案: 188’162/245
第4884道答案: 2’2249046/7126625
第4885道答案: 1’1100128/6773625
第4886道答案: 114681939/201873100
第4887道答案: 49083957/85032640
第4888道答案: 13’24917614/35279167
第4889道答案: 1’44591/75238020
第4890道答案: 261381/320881
第4891道答案: 5’1025523/1469000
第4892道答案: 1’68981/162714
第4893道答案: 7604950/247128691
第4894道答案: 4’74/5535
第4895道答案: 1’295/13783
第4896道答案: 3’8461/41734
第4897道答案: 42’43913/164241
第4898道答案: 1’929585/18427268
第4899道答案: 24’12001299/16085606
第4900道答案: 1’77651362/997087439
第4901道答案: 1’11773/13334
第4902道答案: 1’229/833
第4903道答案: 346675/622644
第4904道答案: 1’37617/174580
第4905道答案: 9’50862929/138551175
第4906道答案: 1’133/2245
第4907道答案: 16’96161/248080
第4908道答案: 365/1672
第4909道答案: 6435/281624
第4910道答案: 32336/86701
第4911道答案: 959001/1004536
第4912道答案: 1’126074/172701
第4913道答案: 2’103373/145055
第4914道答案: 1’275080/6541311
第4915道答案: 13279873/14676360
第4916道答案: 14’702/1075
第4917道答案: 6’88/9847
第4918道答案: 1459887/12261760
第4919道答案: 12’6821/8667
第4920道答案: 21112/22325
第4921道答案: 4’378217/608556
第4922道答案: 1’4179353/9816616
第4923道答案: 7’62/63
第4924道答案: 1’661079461/1152323625
第4925道答案: 3’21652693/70995704
第4926道答案: 13’7207/27218
第4927道答案: 1’6459/7037
第4928道答案: 2’17899943/30783704
第4929道答案: 3’93383/167698
第4930道答案: 1800991907/2036956866
第4931道答案: 1’1900/4509
第4932道答案: 13064/108779
第4933道答案: 2’1311321/3376625
第4934道答案: 7’20813/21714
第4935道答案: 2445/3157
第4936道答案: 2395980/9706487
第4937道答案: 1’3389/7216
第4938道答案: 1’1777/74298
第4939道答案: 1254404899/1685624816
第4940道答案: 18’157/451
第4941道答案: 22620819/679022840
第4942道答案: 2’75424/110443
第4943道答案: 2’24337/135038
第4944道答案: 856936461/887949682
第4945道答案: 8’14413709/22992186
第4946道答案: 121’347/9156
第4947道答案: 4’1689749/13715914
第4948道答案: 1’144297932/223430687
第4949道答案: 2’5184795/8714536
第4950道答案: 1’152616179/190145656
第4951道答案: 1’15728/171195
第4952道答案: 571/660
第4953道答案: 1’2438617/16593356
第4954道答案: 1244974946/1578497625
第4955道答案: 108’1223/1666
第4956道答案: 149326938/199425175
第4957道答案: 753139303/1099312650
第4958道答案: 12’9/43
第4959道答案: 3’4553/63879
第4960道答案: 1’52079/54285
第4961道答案: 1’1307/5436
第4962道答案: 2’5525/6966
第4963道答案: 1’125/401
第4964道答案: 36655856/144632345
第4965道答案: 128561/322138
第4966道答案: 1’242212/639261
第4967道答案: 19’1395353/3803415
第4968道答案: 764083/174258000
第4969道答案: 3’23545287/23796832
第4970道答案: 1’40585/400881
第4971道答案: 8’1153/51656
第4972道答案: 168025/4759344
第4973道答案: 1’33029/33205
第4974道答案: 1’33269473/665726240
第4975道答案: 1’38080683/47211380
第4976道答案: 4’3791/91674
第4977道答案: 7909609/15214656
第4978道答案: 4’1743173/3162040
第4979道答案: 1’251047713/696068060
第4980道答案: 4’797/2195
第4981道答案: 1352651157/1819857004
第4982道答案: 73’7321/11750
第4983道答案: 1’135183349/1539090904
第4984道答案: 7155/649888
第4985道答案: 83350050/793297439
第4986道答案: 4’2445409/24583952
第4987道答案: 1’39095143/52474240
第4988道答案: 3’145058/419971
第4989道答案: 3’18145/46472
第4990道答案: 2’8299177/14424942
第4991道答案: 48108291/53224741
第4992道答案: 68’3395/12256
第4993道答案: 5406/234479
第4994道答案: 1’426241773/455548099
第4995道答案: 55087/185976
第4996道答案: 1’149383/198592
第4997道答案: 4’7275593/73271660
第4998道答案: 134561859/265836092
第4999道答案: 6942651/12398968
第5000道答案: 36777/257950
第5001道答案: 63’121323/241280
第5002道答案: 16’4252255/86251646
第5003道答案: 5’12304/24185
第5004道答案: 45560/65693
第5005道答案: 28’24565207/30711138
第5006道答案: 1’6715/63518
第5007道答案: 3937/10548
第5008道答案: 1’28523/92220
第5009道答案: 4’985753/16143666
第5010道答案: 930527/6477590
第5011道答案: 23593/59048
第5012道答案: 14399/34668
第5013道答案: 4’31356030/108928817
第5014道答案: 1344635219/1505345146
第5015道答案: 1815/110188
第5016道答案: 3’55797835/194002826
第5017道答案: 1’586695771/949723918
第5018道答案: 3’997/2125
第5019道答案: 2’474662283/508189312
第5020道答案: 460/907
第5021道答案: 2’1427259/5669680
第5022道答案: 1’801164713/944522100
第5023道答案: 1’8723/48000
第5024道答案: 1’121979803/1851833168
第5025道答案: 34’374596/695547
第5026道答案: 2’35551219/319103820
第5027道答案: 496235183/664124819
第5028道答案: 11360/288217
第5029道答案: 530145/1498204
第5030道答案: 5’4241/13206
第5031道答案: 1’77279/97825
第5032道答案: 3’14701/164575
第5033道答案: 7’6403961/21770595
第5034道答案: 1’315437/93149868
第5035道答案: 7007/7600
第5036道答案: 2’100550854/171264915
第5037道答案: 36648/59869
第5038道答案: 0
第5039道答案: 1646368203/1708101868
第5040道答案: 10665/20596
第5041道答案: 45445138/74061601
第5042道答案: 1’78422565/148798561
第5043道答案: 3’5076/26963
第5044道答案: 72781/310669
第5045道答案: 25754/172515
第5046道答案: 2’19702/47265
第5047道答案: 173’3/274
第5048道答案: 82269/136220
第5049道答案: 2’5580841/10019428
第5050道答案: 1’81111079/164296268
第5051道答案: 12’4649/12520
第5052道答案: 2’16218009/45983482
第5053道答案: 387000/423569
第5054道答案: 1’133857831/729056884
第5055道答案: 38979/305864
第5056道答案: 2180/3443
第5057道答案: 7826/451385
第5058道答案: 2761/12510
第5059道答案: 1’7970913/9686008
第5060道答案: 2’3424/5973
第5061道答案: 107623/178220
第5062道答案: 2’21925254/36598507
第5063道答案: 7’7102439/8044128
第5064道答案: 7’2441/2775
第5065道答案: 8907955/11832448
第5066道答案: 2’571916/2290431
第5067道答案: 259185161/512345020
第5068道答案: 7’661/11522
第5069道答案: 7’70254407/247808906
第5070道答案: 6555/39911
第5071道答案: 953154273/1004377721
第5072道答案: 25’2194673/6249744
第5073道答案: 15090278/21058547
第5074道答案: 9’2210/3007
第5075道答案: 2’116260162/151463121
第5076道答案: 5’9237089/28484820
第5077道答案: 26743/37536
第5078道答案: 14475517/14521814
第5079道答案: 1’2398325/8162048
第5080道答案: 9’382235/1127438
第5081道答案: 74655/210632
第5082道答案: 7467/16925
第5083道答案: 1’41133/560344
第5084道答案: 1’387580191/1322076833
第5085道答案: 4104/8225
第5086道答案: 5’24733/25155
第5087道答案: 24’832/1071
第5088道答案: 1’23789944/26894791
第5089道答案: 4’17666431/19958170
第5090道答案: 1’29764/126799
第5091道答案: 7’172489/196350
第5092道答案: 4393/213774
第5093道答案: 914454/3713087
第5094道答案: 334082167/499879391
第5095道答案: 1’1871/22515
第5096道答案: 35039/65459
第5097道答案: 343451/131558992
第5098道答案: 2’7099/56817
第5099道答案: 17603889/100729298
第5100道答案: 7’822751/3909632
第5101道答案: 78421118/114583315
第5102道答案: 81461/1293862
第5103道答案: 1’166795567/345964987
第5104道答案: 8’67909529/114706875
第5105道答案: 2288903/2452335
第5106道答案: 13’7923482/9067981
第5107道答案: 74235/237406
第5108道答案: 380432/2518545
第5109道答案: 4’11126/14663
第5110道答案: 2’551983/819924
第5111道答案: 4’4269938/22972005
第5112道答案: 6561824/57455255
第5113道答案: 6915/22256
第5114道答案: 1’1045622/631939147
第5115道答案: 146050987/641724160
第5116道答案: 620823/10610996
第5117道答案: 6’15673/20826
第5118道答案: 1’519/18421
第5119道答案: 131655925/156325554
第5120道答案: 3’63825056/95869125
第5121道答案: 10673/26592
第5122道答案: 1789387520/2142644817
第5123道答案: 725717281/1733645368
第5124道答案: 2’967495/3014274
第5125道答案: 1’1953371/6769213
第5126道答案: 2’7465/13489
第5127道答案: 3971000/16277859
第5128道答案: 7865190/22258463
第5129道答案: 2’26713/28714
第5130道答案: 2405921/108031510
第5131道答案: 1’11934/31901
第5132道答案: 12789/204730
第5133道答案: 1’158781801/200778076
第5134道答案: 13’1996637/2718328
第5135道答案: 2413103/4345965
第5136道答案: 3’68451/183770
第5137道答案: 663191/694827
第5138道答案: 381/487
第5139道答案: 2’451073/542832
第5140道答案: 1’3546860/5863809
第5141道答案: 1’15533/168375
第5142道答案: 3’18729/20240
第5143道答案: 1’21998227/32429474
第5144道答案: 3’17077/23688
第5145道答案: 5’2814221/27082342
第5146道答案: 1’234969773/577667175
第5147道答案: 90262631/115934220
第5148道答案: 236755/1191216
第5149道答案: 1’283/678
第5150道答案: 480641/2220075
第5151道答案: 1’152580181/1002367648
第5152道答案: 51’135691/150745
第5153道答案: 2’9449/12728
第5154道答案: 1225308181/1666708400
第5155道答案: 1’595280/832877
第5156道答案: 42’586473/3889328
第5157道答案: 1’1591769/14282528
第5158道答案: 299150/520047
第5159道答案: 166049/571335
第5160道答案: 8’201121/576288
第5161道答案: 34691/222386
第5162道答案: 2’61297273/187703109
第5163道答案: 69928478/128269785
第5164道答案: 19397/175142
第5165道答案: 1’6300051/842327288
第5166道答案: 17’57352031/100724230
第5167道答案: 1’1300/2733
第5168道答案: 1’267930473/711807866
第5169道答案: 3’22488/11446199
第5170道答案: 2’20857/96330
第5171道答案: 15666745/63715398
第5172道答案: 9486098/24607031
第5173道答案: 1’21795889/168760747
第5174道答案: 1’444151/6181586
第5175道答案: 1’532815601/1146398000
第5176道答案: 41207/94830
第5177道答案: 42’6827/480816
第5178道答案: 538’11/35
第5179道答案: 1’2393/18847
第5180道答案: 1’4034/15645
第5181道答案: 1’58/95
第5182道答案: 3’8955/22496
第5183道答案: 3’1561/4807
第5184道答案: 367727/4659928
第5185道答案: 67868795/140718486
第5186道答案: 9446/9471
第5187道答案: 3’59089111/84571080
第5188道答案: 6’2474811/2499475
第5189道答案: 7568/10955
第5190道答案: 3’3087872/4188379
第5191道答案: 13396968/15394775
第5192道答案: 374113829/1024792528
第5193道答案: 2’15199/48024
第5194道答案: 31866/126773
第5195道答案: 845/42714
第5196道答案: 460’1075097/2656800
第5197道答案: 645/3611
第5198道答案: 284730176/673536743
第5199道答案: 51017113/455764999
第5200道答案: 1’3799/5289
第5201道答案: 30357649/47917208
第5202道答案: 1’209635/608387
第5203道答案: 1’343/18538
第5204道答案: 19’3539/111240
第5205道答案: 7’3172/4419
第5206道答案: 8’5785397/58766599
第5207道答案: 6’2/7
第5208道答案: 1’34199/198900
第5209道答案: 828655/6999291
第5210道答案: 5’59640/129659
第5211道答案: 512/9591
第5212道答案: 17569/29299
第5213道答案: 3’33144/34441
第5214道答案: 1’14843/21150
第5215道答案: 13’29275/34894
第5216道答案: 1’14564649/76685014
第5217道答案: 2’30028563/39996368
第5218道答案: 3’2701171/4985165
第5219道答案: 977/67496
第5220道答案: 30692/103845
第5221道答案: 2’1400403/1791685
第5222道答案: 70’391201/1113658
第5223道答案: 15341/409003
第5224道答案: 4’65692533/243760699
第5225道答案: 4732/19431
第5226道答案: 16695/86722
第5227道答案: 6’31393/45920
第5228道答案: 8’60324965/61437326
第5229道答案: 5546627/7015424
第5230道答案: 6’743243/7618560
第5231道答案: 1’8443/11100
第5232道答案: 3’24191/29841
第5233道答案: 30713553/51764534
第5234道答案: 134599805/448658054
第5235道答案: 81590729/223267793
第5236道答案: 3’1341522/16029701
第5237道答案: 2862/69575
第5238道答案: 24’1009/2152
第5239道答案: 12’20385644/52942823
第5240道答案: 33489827/43459020
第5241道答案: 1’77803/813305
第5242道答案: 3’69481/102912
第5243道答案: 943477/5392010
第5244道答案: 6’2217/10058
第5245道答案: 7’111529682/235853317
第5246道答案: 389367597/449660530
第5247道答案: 6049/12403
第5248道答案: 29521/82728
第5249道答案: 3’65771/76349
第5250道答案: 6’11693627/25007185
第5251道答案: 150744475/152432592
第5252道答案: 25444001/55861680
第5253道答案: 14’567/800
第5254道答案: 25’8684/253239
第5255道答案: 10475/40698
第5256道答案: 7747/8736
第5257道答案: 22484/120335
第5258道答案: 1’5569479/6217120
第5259道答案: 1496135/3885112
第5260道答案: 59843129/712196550
第5261道答案: 2’56435/77584
第5262道答案: 18’967/1623
第5263道答案: 5’16548/33115
第5264道答案: 127720261/364186988
第5265道答案: 10263/10906
第5266道答案: 24875/27218
第5267道答案: 1826/8453
第5268道答案: 1’53409911/141957624
第5269道答案: 1’15428259/40111640
第5270道答案: 2’141329/170867
第5271道答案: 3’5/1638
第5272道答案: 152281851/1360052144
第5273道答案: 4’4027/4303
第5274道答案: 2’526231613/776384336
第5275道答案: 9’2584635/2806241
第5276道答案: 5135/6972
第5277道答案: 1’208966167/1562570761
第5278道答案: 4’3845/128106
第5279道答案: 6520/83421
第5280道答案: 226799/357750
第5281道答案: 8’2011/10693
第5282道答案: 3’14726209/63196650
第5283道答案: 3047271/9322885
第5284道答案: 9’2695724/2727505
第5285道答案: 53326001/151197888
第5286道答案: 230860/260051
第5287道答案: 37’2393/19936
第5288道答案: 84119/246912
第5289道答案: 23248831/26549985
第5290道答案: 99915067/1158231672
第5291道答案: 3688398/53080879
第5292道答案: 1863/22178
第5293道答案: 3’34801329/47674022
第5294道答案: 129340/361057
第5295道答案: 2’418634257/744220984
第5296道答案: 39’1230395/3365891
第5297道答案: 7’50075/226237
第5298道答案: 2’64/155
第5299道答案: 1609207776/1648831145
第5300道答案: 91979/356094
第5301道答案: 5’3055635/5596421
第5302道答案: 264637/412043
第5303道答案: 1’1960355/3893292
第5304道答案: 11’545507/1444456
第5305道答案: 2’34336/52735
第5306道答案: 2’9986/50303
第5307道答案: 572525879/620376669
第5308道答案: 9’23928605/41027994
第5309道答案: 6’28123931/32926326
第5310道答案: 31086347/104959402
第5311道答案: 10’2488/10829
第5312道答案: 1’130169/327172
第5313道答案: 528581/566334
第5314道答案: 2’1312699/1616670
第5315道答案: 1’46373/132768
第5316道答案: 1’50040023/1411241272
第5317道答案: 3’864401/5584326
第5318道答案: 6090453/215105938
第5319道答案: 6’964231/1104494
第5320道答案: 4859/15794
第5321道答案: 3’100218289/223479016
第5322道答案: 1’66706/134041
第5323道答案: 1’17665/72998
第5324道答案: 1’613928785/1409102478
第5325道答案: 1203017/26711656
第5326道答案: 2’1739/13717
第5327道答案: 221393642/303987349
第5328道答案: 18415670/52913247
第5329道答案: 133014124/255648823
第5330道答案: 5’53767/1646500
第5331道答案: 1’187866/450665
第5332道答案: 4213720/5504377
第5333道答案: 2’45118346/91501541
第5334道答案: 208’1469/7052
第5335道答案: 8344/79315
第5336道答案: 11’615745/3326048
第5337道答案: 1301877/10305280
第5338道答案: 505/824
第5339道答案: 966552/3228575
第5340道答案: 9’670033/916674
第5341道答案: 1’85193/3682016
第5342道答案: 397436928/901519235
第5343道答案: 15’4500299/10273134
第5344道答案: 10872/173809
第5345道答案: 1’68363/3487385
第5346道答案: 155547/404608
第5347道答案: 1’26151875/33001556
第5348道答案: 1’6491273/6592950
第5349道答案: 3’43005/65987
第5350道答案: 1’1441421/2822336
第5351道答案: 1’11351377/1246591016
第5352道答案: 2’30469/166320
第5353道答案: 8’207091/214720
第5354道答案: 4’1120223/1916970
第5355道答案: 53168582/70755275
第5356道答案: 3’6909/30962
第5357道答案: 4’11420603/36498759
第5358道答案: 2’3015401/35568247
第5359道答案: 1’5629181/178622138
第5360道答案: 714768909/2118320000
第5361道答案: 1’101011/159544
第5362道答案: 21’104669/196686
第5363道答案: 2’14962/139769
第5364道答案: 1’747380209/1250380591
第5365道答案: 5’5870/6441
第5366道答案: 6’259/4503
第5367道答案: 237900/198442627
第5368道答案: 77/478
第5369道答案: 1851475/4726638
第5370道答案: 1’6359/25376
第5371道答案: 5’13213/36167
第5372道答案: 3’247174/359271
第5373道答案: 31259907/38174126
第5374道答案: 8’9100576/11719569
第5375道答案: 20’2/77
第5376道答案: 1’20154016/511703989
第5377道答案: 3’45534999/135590840
第5378道答案: 3996/28405
第5379道答案: 1’915/4031
第5380道答案: 55’298337/462550
第5381道答案: 1’217433200/1699688529
第5382道答案: 37257799/117605592
第5383道答案: 14439143/16688763
第5384道答案: 1’1851849/27070808
第5385道答案: 8’2234/8645
第5386道答案: 1’899/5040
第5387道答案: 2’331/10602
第5388道答案: 10’9460787/18144632
第5389道答案: 3’24362863/36887488
第5390道答案: 2’1482/4235
第5391道答案: 346565603/619754652
第5392道答案: 2’2843921/10751720
第5393道答案: 2’9850/10573
第5394道答案: 744354080/1353010721
第5395道答案: 6997925/18101304
第5396道答案: 56’424163/1891092
第5397道答案: 2491663/10410050
第5398道答案: 1’476407439/1063126269
第5399道答案: 14’1/4
第5400道答案: 1’15640/19413
第5401道答案: 1’68010640/820225787
第5402道答案: 24823/62928
第5403道答案: 23’6674599/8332935
第5404道答案: 48’80/297
第5405道答案: 6’58416109/115396268
第5406道答案: 3’103363/148959
第5407道答案: 39077561/893060298
第5408道答案: 270134/277689
第5409道答案: 2048750/5646037
第5410道答案: 8’29132030/38461567
第5411道答案: 1’27442/374985
第5412道答案: 1’10712/14325
第5413道答案: 1048043/2084123056
第5414道答案: 24231/26180
第5415道答案: 14’7151/19775
第5416道答案: 784023649/1926844150
第5417道答案: 2’91487/125454
第5418道答案: 852239107/1542304928
第5419道答案: 3’9727/28558
第5420道答案: 1’773/952
第5421道答案: 32013447/35582833
第5422道答案: 12879/24656
第5423道答案: 1’123096461/157339896
第5424道答案: 1’576/1313
第5425道答案: 10’2897/8648
第5426道答案: 4’427085/1292656
第5427道答案: 11047/62456
第5428道答案: 3’77251/103530
第5429道答案: 4505392/50238387
第5430道答案: 79283435/365955066
第5431道答案: 4876/9735
第5432道答案: 16’3/16
第5433道答案: 1793766/6910927
第5434道答案: 1’3919751/4534635
第5435道答案: 10925/17402
第5436道答案: 5’8778819/15004027
第5437道答案: 2’58/325
第5438道答案: 424/1125
第5439道答案: 1’12313/13464
第5440道答案: 10456688/15977085
第5441道答案: 39915563/44602614
第5442道答案: 2’51190435/73622097
第5443道答案: 1’163001799/709396702
第5444道答案: 7150415/18950588
第5445道答案: 20793/203810
第5446道答案: 164’17/32
第5447道答案: 1338048/5296535
第5448道答案: 1’73695859/681434514
第5449道答案: 4’2929/5348
第5450道答案: 6234959/262498826
第5451道答案: 1’48938791/635118412
第5452道答案: 82886863/155617385
第5453道答案: 2’68519/467840
第5454道答案: 1’1282573/22328515
第5455道答案: 66020971/123324286
第5456道答案: 3’5901157/12856429
第5457道答案: 1681331647/1830128822
第5458道答案: 225868672/236986035
第5459道答案: 469/2808
第5460道答案: 46057/51555
第5461道答案: 2’163080001/216513084
第5462道答案: 1’208085/1309374
第5463道答案: 1’2217073/3585452
第5464道答案: 24’13229/29790
第5465道答案: 1’5661/7975
第5466道答案: 1’245/713
第5467道答案: 6’521945/1832512
第5468道答案: 1’8138012/36304741
第5469道答案: 20894/32949
第5470道答案: 4’47678083/105004263
第5471道答案: 2’2543/618744
第5472道答案: 2’72832943/155263368
第5473道答案: 1’1160913/15002020
第5474道答案: 9’1491631/23148768
第5475道答案: 186230154/255849749
第5476道答案: 1’13803687/14763562
第5477道答案: 2’51323/106908
第5478道答案: 3’108217/2224992
第5479道答案: 27169987/50779870
第5480道答案: 1’585842654/959032921
第5481道答案: 23’1018/1191
第5482道答案: 1’57435241/205858191
第5483道答案: 1’1/111
第5484道答案: 5’660707/4987208
第5485道答案: 1018816787/1519747494
第5486道答案: 1’16748069/402833460
第5487道答案: 6’1/20
第5488道答案: 2442/7913
第5489道答案: 3’17245/130572
第5490道答案: 1’115394619/145894865
第5491道答案: 2’420799/8684161
第5492道答案: 1’1318047/3026149
第5493道答案: 4’1805527/4754736
第5494道答案: 2’7974/372761
第5495道答案: 1’9476/187055
第5496道答案: 2735/3024
第5497道答案: 15707/27860
第5498道答案: 1540/3627
第5499道答案: 7’12113/15156
第5500道答案: 5’55558/1563001
第5501道答案: 1’1307/5217
第5502道答案: 1’3998383/8300802
第5503道答案: 1’7422991/25737966
第5504道答案: 1’132883/226809
第5505道答案: 41473/115648
第5506道答案: 6’1263469/2039686
第5507道答案: 1’70095/441526
第5508道答案: 1’80783/82717
第5509道答案: 2’72/1343
第5510道答案: 123310/5491833
第5511道答案: 204051677/548142515
第5512道答案: 5’4765/6184
第5513道答案: 5’23924/29829
第5514道答案: 90852/172645
第5515道答案: 1’6141653/10292854
第5516道答案: 54/311
第5517道答案: 837748/1247239
第5518道答案: 18’8450977/15216065
第5519道答案: 8’15153/42952
第5520道答案: 1’637322363/1412492837
第5521道答案: 9’3149/27972
第5522道答案: 182197855/424631124
第5523道答案: 3’160000/863397
第5524道答案: 2’77704/102907
第5525道答案: 69062743/107787456
第5526道答案: 556721/34795008
第5527道答案: 3’6244009/9382620
第5528道答案: 939803/1021140
第5529道答案: 53683871/100941984
第5530道答案: 166857/237010
第5531道答案: 13’8509/9480
第5532道答案: 3’22605501/192127264
第5533道答案: 27953/56700
第5534道答案: 1’199526/542357
第5535道答案: 1’172792215/752807896
第5536道答案: 1’7082609/28639285
第5537道答案: 2’164174/297765
第5538道答案: 1701632/5589125
第5539道答案: 1185946429/1232535032
第5540道答案: 7’82807/172731
第5541道答案: 1’109879/118845
第5542道答案: 329543147/409933556
第5543道答案: 592466396/1872290197
第5544道答案: 34161/37088
第5545道答案: 157162/187891
第5546道答案: 133388449/514892963
第5547道答案: 2’8724181/8849412
第5548道答案: 8770006/16384717
第5549道答案: 2’15689/34314
