第1道答案: 2878956/10223345
第4616道答案: 43329/128740
第4617道答案: 30485995/54543678
第4618道答案: 9’90758975/143161998
第4619道答案: 12’2714/3725
第4620道答案: 2’1337/1710
第4621道答案: 3’894867/10227688
第4622道答案: 17’6046615/7060608
第4623道答案: 4’1649/2444
第4624道答案: 10919/51023
第4625道答案: 173/21680
第4626道答案: 2’44940617/216476006
第4627道答案: 9’1195/42734
第4628道答案: 2’26812/39805
第4629道答案: 29’2/3
第4630道答案: 2128/83739
第4631道答案: 1’38315/157651
第4632道答案: 37913999/44347128
第4633道答案: 1’90589/169443
第4634道答案: 5’12830/41283
第4635道答案: 35126/272823
第4636道答案: 9’95965421/166001845
第4637道答案: 3’151879/1279760
第4638道答案: 4’9204262/31220475
第4639道答案: 6’137/437
第4640道答案: 7’1017274/7224075
第4641道答案: 101095/128982
第4642道答案: 585649/715977
第4643道答案: 12’14757/31144
第4644道答案: 16’46111/6072528
第4645道答案: 98’18191/25433
第4646道答案: 3’4507/16023
第4647道答案: 13703/20033
第4648道答案: 3’134427055/592603904
第4649道答案: 10523/21700
第4650道答案: 10’13569313/20447994
第4651道答案: 4’6893281/8722980
第4652道答案: 8745/20332
第4653道答案: 4’278729/1476410
第4654道答案: 1’407/12933
第4655道答案: 1251/13685
第4656道答案: 1’447246291/1119133696
第4657道答案: 158216917/259654593
第4658道答案: 45798/135485
第4659道答案: 276/17651
第4660道答案: 219954227/839494274
第4661道答案: 1429526659/1590842850
第4662道答案: 1’310733531/399105144
第4663道答案: 1’155624/3540771
第4664道答案: 1’21187/29250
第4665道答案: 2’24231530/43532363
第4666道答案: 2063494/6033375
第4667道答案: 163761/899030
第4668道答案: 83432253/292225688
第4669道答案: 13’183251/569943
第4670道答案: 1820164069/2139521518
第4671道答案: 38’2760/9061
第4672道答案: 75797297/259792003
第4673道答案: 1’1301/2769
第4674道答案: 105445/1714776
第4675道答案: 6’14409869/21769801
第4676道答案: 1001583/4915960
第4677道答案: 419709209/480880324
第4678道答案: 1’2765/18176
第4679道答案: 289/1430
第4680道答案: 2’1504769/2580644
第4681道答案: 12502829/45078950
第4682道答案: 4’33039151/56127016
第4683道答案: 449048801/610333599
第4684道答案: 11’1017/5540
第4685道答案: 2’31076096/71643285
第4686道答案: 390717/418646
第4687道答案: 63784633/107736426
第4688道答案: 16’356644/1520545
第4689道答案: 18’230365/276368
第4690道答案: 209350/217251
第4691道答案: 1’1933599/6477266
第4692道答案: 2’63520773/424342490
第4693道答案: 198627/355493
第4694道答案: 1’3089/28420
第4695道答案: 6’2276/2471
第4696道答案: 312555/477472
第4697道答案: 15024/20941
第4698道答案: 1’2980937/7372288
第4699道答案: 27’1543/2240
第4700道答案: 423/62000
第4701道答案: 1141467/7487480
第4702道答案: 436049609/559575788
第4703道答案: 18’26960287/52990176
第4704道答案: 299490935/575721624
第4705道答案: 3’76327/120510
第4706道答案: 2’5177/104804
第4707道答案: 1’17729/25200
第4708道答案: 10147/10318
第4709道答案: 1’87675059/132228016
第4710道答案: 3’21457/74333
第4711道答案: 46’11/213
第4712道答案: 642147/6891089
第4713道答案: 810095/971738
第4714道答案: 147446/204459
第4715道答案: 6’2026657/9609746
第4716道答案: 752780795/845669374
第4717道答案: 4’479324/905603
第4718道答案: 83/5733
第4719道答案: 12758/23843
第4720道答案: 2’301451/374000
第4721道答案: 126443961/205382572
第4722道答案: 1’501071/792634
第4723道答案: 2’1051/1491
第4724道答案: 4646/14213
第4725道答案: 31’290447/720720
第4726道答案: 25186516/206107041
第4727道答案: 503194475/1159941632
第4728道答案: 1221563564/1964857099
第4729道答案: 21461/33867
第4730道答案: 842570289/1049745316
第4731道答案: 4’82249/84261
第4732道答案: 1039426796/1130347003
第4733道答案: 38680693/73544202
第4734道答案: 890393/958240
第4735道答案: 13’93509/109630
第4736道答案: 1’265107/330998
第4737道答案: 2’14523/33488
第4738道答案: 88’1/3
第4739道答案: 1509950939/1533219732
第4740道答案: 8968351/63049509
第4741道答案: 146943623/188148769
第4742道答案: 31’2581862/28724661
第4743道答案: 3’331/520
第4744道答案: 1’79240/167753
第4745道答案: 2’12181/19106
第4746道答案: 1’143479/179740
第4747道答案: 2’551009/3824730
第4748道答案: 20521/296670
第4749道答案: 2’90133/601290
第4750道答案: 2’7880669/21106131
第4751道答案: 76752/116879
第4752道答案: 6’19672444/32384641
第4753道答案: 60568/322245
第4754道答案: 2’17109671/19265627
第4755道答案: 1’12844733/31127985
第4756道答案: 3’20091/146329
第4757道答案: 1564449/5566484
第4758道答案: 81667347/522911462
第4759道答案: 2’3407/7974
第4760道答案: 1’7333/55924
第4761道答案: 1’183375/640081
第4762道答案: 1’5731/13455
第4763道答案: 2’1703/14840
第4764道答案: 2’11933123/42837276
第4765道答案: 2’159623/1201788
第4766道答案: 22’18973/27576
第4767道答案: 1’4843301/23960962
第4768道答案: 6’1236428/1540263
第4769道答案: 1’10022/31339
第4770道答案: 2’117207163/178667154
第4771道答案: 6’461/9150
第4772道答案: 12521/100274
第4773道答案: 123349/211130
第4774道答案: 3’1783/7705
第4775道答案: 5’197/357
第4776道答案: 4’22928/144837
第4777道答案: 2’12863/25452
第4778道答案: 153413191/222714846
第4779道答案: 428515/760284
第4780道答案: 1’352451/816909
第4781道答案: 21’3601319/4157010
第4782道答案: 1’82691/181485
第4783道答案: 15616057/44923120
第4784道答案: 3’9407/81065
第4785道答案: 120846459/1510217896
第4786道答案: 4381/15164
第4787道答案: 2’621071/2120742
第4788道答案: 841990237/1708331420
第4789道答案: 3182409/9066589
第4790道答案: 2’7726477/25763220
第4791道答案: 4’180032/1410277
第4792道答案: 851806678/1973377559
第4793道答案: 78690815/740812381
第4794道答案: 898038949/1073526882
第4795道答案: 73472833/88387199
第4796道答案: 183/2332
第4797道答案: 27206/78925
第4798道答案: 3’2060/4771
第4799道答案: 41532317/48326776
第4800道答案: 1’359222939/1787360730
第4801道答案: 1’2073266/3852687
第4802道答案: 3’1138979/12884375
第4803道答案: 46850/1753453
第4804道答案: 15’2225/12818
第4805道答案: 1’57173255/175615176
第4806道答案: 5629’4661/6363
第4807道答案: 1225/20086
第4808道答案: 209611/274104
第4809道答案: 3’34271/114130
第4810道答案: 47863/196885
第4811道答案: 1’9787/64464
第4812道答案: 3020201/22444695
第4813道答案: 2’19681/48400
第4814道答案: 37’2811491/3281928
第4815道答案: 36178/119847
第4816道答案: 66165/191842
第4817道答案: 1’5801/5880
第4818道答案: 4’23245807/57647168
第4819道答案: 20’658439/1788900
第4820道答案: 2’254858041/520165292
第4821道答案: 1’11066305/11811496
第4822道答案: 13699/73117
第4823道答案: 4’154181682/302655605
第4824道答案: 2’45973209/664353322
第4825道答案: 1’7611/72343
第4826道答案: 1’7407101/26287225
第4827道答案: 6’3307279/5028904
第4828道答案: 1’138914273/546336336
第4829道答案: 1’15867991/16735978
第4830道答案: 1418249/23810496
第4831道答案: 3364/23069
第4832道答案: 325631/450198
第4833道答案: 42993/828935
第4834道答案: 6’772637/3409316
第4835道答案: 285754643/1535996326
第4836道答案: 1063986580/1542483101
第4837道答案: 1’40885/46248
第4838道答案: 1’335509/417690
第4839道答案: 110559882/277112185
第4840道答案: 2’1261585/2518812
第4841道答案: 1’324199/428450
第4842道答案: 260/3473
第4843道答案: 978963/20258536
第4844道答案: 6’1159814/1629825
第4845道答案: 2’26626/138095
第4846道答案: 8’1015297/2947224
第4847道答案: 3’16416751/16637965
第4848道答案: 4’2225/8246
第4849道答案: 1472’613/3655
第4850道答案: 4’24599/28728
第4851道答案: 16’8435/33989
第4852道答案: 193855817/521098808
第4853道答案: 22’7333/14630
第4854道答案: 4’360/1219
第4855道答案: 3’67/13857
第4856道答案: 231’2097122/2144735
第4857道答案: 3’17877/76874
第4858道答案: 20’296764/584193
第4859道答案: 2’20987/84510
第4860道答案: 5510376/16144657
第4861道答案: 1’386372/617913
第4862道答案: 1’3582617/12544770
第4863道答案: 4’31823/82917
第4864道答案: 96150367/106602368
第4865道答案: 5’3473/3596
第4866道答案: 73’32/137
第4867道答案: 5797/46472
第4868道答案: 1’2273369/3993324
第4869道答案: 2’27079/60864
第4870道答案: 735374615/799516732
第4871道答案: 829805435/1185990126
第4872道答案: 1’684775/3740739
第4873道答案: 16082657/22933362
第4874道答案: 38’82408/120645
第4875道答案: 1’51999/76555
第4876道答案: 608097827/1151576047
第4877道答案: 4’21661303/76924540
第4878道答案: 5’13477/16614
第4879道答案: 29503/62222
第4880道答案: 2199301/5865300
第4881道答案: 563206135/1762037486
第4882道答案: 250591536/397290469
第4883道答案: 1255887983/1824351596
第4884道答案: 1’427327/4589420
第4885道答案: 1’34346/251889
第4886道答案: 2’43044/335093
第4887道答案: 1’34579/39567
第4888道答案: 2’1485961/2600720
第4889道答案: 3’6285744/16531645
第4890道答案: 55’453/21736
第4891道答案: 120565025/927953204
第4892道答案: 1’356689851/654498160
第4893道答案: 4’310837/978164
第4894道答案: 1’607755562/917472253
第4895道答案: 1’126176589/1713677974
第4896道答案: 2’374410/3957891
第4897道答案: 1’155863/218448
第4898道答案: 2’127713599/129484208
第4899道答案: 201950/917739
第4900道答案: 24’11/36
第4901道答案: 7’4193812/4344763
第4902道答案: 1’1661/10140
第4903道答案: 4’484339/723112
第4904道答案: 36384/232099
第4905道答案: 8’45944/63525
第4906道答案: 16295/2585616
第4907道答案: 11’2937/13468
第4908道答案: 3’579/1435
第4909道答案: 2’1059/22253
第4910道答案: 778/2373
第4911道答案: 85’2393/2520
第4912道答案: 1’32699/35636
第4913道答案: 19527/41990
第4914道答案: 1’458489/497514
第4915道答案: 5’51074/78975
第4916道答案: 31’23495211/26033770
第4917道答案: 12’3099/3328
第4918道答案: 2’8014/10011
第4919道答案: 23188/31995
第4920道答案: 51392/229245
第4921道答案: 1698/2233
第4922道答案: 5’17832/55777
第4923道答案: 8’17021352/26022935
第4924道答案: 3’1277475/9005186
第4925道答案: 551/5356
第4926道答案: 326/385
第4927道答案: 12’277297/853622
第4928道答案: 6’19746357/45118255
第4929道答案: 1’149682119/280601937
第4930道答案: 6849599/13843856
第4931道答案: 2562104/7668287
第4932道答案: 684/9541
第4933道答案: 5’63859/135036
第4934道答案: 6’68/249
第4935道答案: 1’339966145/345030336
第4936道答案: 2’4475/7708
第4937道答案: 1’5296961/15310900
第4938道答案: 40’189485/4294668
第4939道答案: 6’27554477/43106382
第4940道答案: 1’333760111/1155764865
第4941道答案: 1’221453/2988657
第4942道答案: 1’77201491/750161740
第4943道答案: 1’8704/50343
第4944道答案: 18210459/329350300
第4945道答案: 1’14210059/32152136
第4946道答案: 15’8532327/41070979
第4947道答案: 30385671/143597056
第4948道答案: 96095049/558733048
第4949道答案: 1’31859/268413
第4950道答案: 4’14701/60400
第4951道答案: 75316/99443
第4952道答案: 288353/621632
第4953道答案: 2’25591/255481
第4954道答案: 11’3719281/26437950
第4955道答案: 37’1561/9120
第4956道答案: 34060063/80787540
第4957道答案: 64’14330/30927
第4958道答案: 2’127/470
第4959道答案: 64661418/177936311
第4960道答案: 2’114499841/897582238
第4961道答案: 396245/623139
第4962道答案: 33’614994/1383565
第4963道答案: 5’181/2422
第4964道答案: 1’4006609/5866003
第4965道答案: 2’10079/14784
第4966道答案: 2’7642424/16489473
第4967道答案: 201327296/406234083
第4968道答案: 6’309923/357000
第4969道答案: 156151476/1974888913
第4970道答案: 14’312/575
第4971道答案: 221/549
第4972道答案: 427459271/520823736
第4973道答案: 9’119063033/215372514
第4974道答案: 1’224872/372335
第4975道答案: 153078069/162724192
第4976道答案: 1’30365/58116
第4977道答案: 7’13/864
第4978道答案: 190279577/348079280
第4979道答案: 2’92047/133250
第4980道答案: 65529/124691
第4981道答案: 1’352750/614069
第4982道答案: 2’84276/118525
第4983道答案: 37812/41503
第4984道答案: 1’7206495/16137352
第4985道答案: 13’164757/185812
第4986道答案: 1’9769748/17278265
第4987道答案: 3’21939/100861
第4988道答案: 354’38322/71435
第4989道答案: 1’27055481/419157859
第4990道答案: 6’2096887/4705840
第4991道答案: 20’2326801/2585128
第4992道答案: 0
第4993道答案: 1’6211/22272
第4994道答案: 3’109/121
第4995道答案: 1002168005/1575885974
第4996道答案: 2’235815533/277873120
第4997道答案: 3’640877/3285744
第4998道答案: 18’3293/310080
第4999道答案: 8’60691/68541
第5000道答案: 2’29786/80327
第5001道答案: 1’59415122/438231385
第5002道答案: 7’6798/6931
第5003道答案: 1’2423/10540
第5004道答案: 16992/99091
第5005道答案: 43’1847/15057
第5006道答案: 2503/2828
第5007道答案: 642907/6659120
第5008道答案: 9327442/14024595
第5009道答案: 1’1139/2289
第5010道答案: 92393/327751
第5011道答案: 5811/9512
第5012道答案: 1135753831/1148362208
第5013道答案: 5192263/265709548
第5014道答案: 99705633/204104680
第5015道答案: 150319/255816
第5016道答案: 12’1804429/3391479
第5017道答案: 2’2941857/9847834
第5018道答案: 10’4443/14396
第5019道答案: 497687227/1065467008
第5020道答案: 55’211853/369325
第5021道答案: 426668609/1089000194
第5022道答案: 3’121639769/273676064
第5023道答案: 389/4368
第5024道答案: 3’8674093/18510660
第5025道答案: 424652/785911
第5026道答案: 21437/112500
第5027道答案: 12809/15996
第5028道答案: 2’3200/12243
第5029道答案: 14’36599183/115549520
第5030道答案: 333335/511836
第5031道答案: 1’75939/257480
第5032道答案: 2030336/235924725
第5033道答案: 1100799/2494745
第5034道答案: 7’32833/199125
第5035道答案: 1’18320783/33717272
第5036道答案: 1’19733/28565
第5037道答案: 78136753/677972272
第5038道答案: 2’407831734/651061125
第5039道答案: 181582/238875
第5040道答案: 5’8362/44253
第5041道答案: 254671432/990999207
第5042道答案: 293567411/1683653326
第5043道答案: 61982/80275
第5044道答案: 10’2939851/3127610
第5045道答案: 1’130845895/145529541
第5046道答案: 26’12299611/17753450
第5047道答案: 1’30875/109612
第5048道答案: 2’51764233/61366004
第5049道答案: 34’737476/5828095
第5050道答案: 1’40905815/188562096
第5051道答案: 7’10686/20257
第5052道答案: 10’21341/130935
第5053道答案: 715/5626
第5054道答案: 1’118786433/1500014088
第5055道答案: 5’6521/53694
第5056道答案: 2’24771092/178369495
第5057道答案: 141151/244330
第5058道答案: 454’30883/72761
第5059道答案: 2’427/108344
第5060道答案: 2’10808/17931
第5061道答案: 1’55289/113344
第5062道答案: 3’2623523/2911788
第5063道答案: 1’4212177/219262910
第5064道答案: 10’2064/42127
第5065道答案: 10’43135189/47035183
第5066道答案: 415811469/520424584
第5067道答案: 1’21845917/231634282
第5068道答案: 1935/28126
第5069道答案: 2’145183/357520
第5070道答案: 4’1151/11977
第5071道答案: 1145/5016
第5072道答案: 2543/65934
第5073道答案: 46153385/50186912
第5074道答案: 13’40558379/160611165
第5075道答案: 901/13032
第5076道答案: 132688/540441
第5077道答案: 11999408/35807779
第5078道答案: 1’113609/154938
第5079道答案: 1’21447862/73421373
第5080道答案: 13594373/14110900
第5081道答案: 4’5228841/7424348
第5082道答案: 19797568/80998543
第5083道答案: 13’4/39
第5084道答案: 178008900/255939847
第5085道答案: 51979/75922
第5086道答案: 1’316789838/751835179
第5087道答案: 3’168685861/566753886
第5088道答案: 216386391/331546474
第5089道答案: 3’129309/2664728
第5090道答案: 1’3675941/326438874
第5091道答案: 16310511/37212032
第5092道答案: 2’143389871/480150044
第5093道答案: 2’63589/216920
第5094道答案: 2’363927/12538498
第5095道答案: 1’1033/1372
第5096道答案: 1’17869/369768
第5097道答案: 44’2051/8115
第5098道答案: 2’1775419/4740120
第5099道答案: 1’67512233/1645345314
第5100道答案: 5’209333/520260
第5101道答案: 1’102569/121412
第5102道答案: 12’76023/175100
第5103道答案: 36’823/1160
第5104道答案: 40635/76042
第5105道答案: 3157/4672
第5106道答案: 2’1144087/11674869
第5107道答案: 2’1623159/2769250
第5108道答案: 142228510/255227407
第5109道答案: 14’3779/5814
第5110道答案: 1’413971109/972952806
第5111道答案: 2’291/20930
第5112道答案: 4’7014899/20727476
第5113道答案: 4’99259/110840
第5114道答案: 62’893/1440
第5115道答案: 4483/27342
第5116道答案: 2’252332/462213
第5117道答案: 28498225/33103486
第5118道答案: 52710737/173945570
第5119道答案: 1’1010740/1724837
第5120道答案: 35894/4849131
第5121道答案: 5’127781/239666
第5122道答案: 7’4945/10268
第5123道答案: 3’1329481/5951880
第5124道答案: 23’10988/12685
第5125道答案: 12663/60625
第5126道答案: 3’2134032/5738575
第5127道答案: 4’307/364
第5128道答案: 5’44087/119438
第5129道答案: 5282336/74860331
第5130道答案: 7’3655/6368
第5131道答案: 85369/151585
第5132道答案: 8’111167/319260
第5133道答案: 1541/4555
第5134道答案: 56643302/348913947
第5135道答案: 1’134688133/1217518848
第5136道答案: 383566110/404573041
第5137道答案: 2368073/9147683
第5138道答案: 53591/343826
第5139道答案: 33098/50337
第5140道答案: 31’6151/7004
第5141道答案: 1’11493/30275
第5142道答案: 108736568/306619929
第5143道答案: 1’1357347/4276724
第5144道答案: 3’2578/5115
第5145道答案: 235/652
第5146道答案: 1676/339963
第5147道答案: 14’259/372
第5148道答案: 6’142/3503
第5149道答案: 2’59346373/61156016
第5150道答案: 1’38303/232170
第5151道答案: 91295/224028
第5152道答案: 6’3123/29204
第5153道答案: 93432/192625
第5154道答案: 2’301759/532770
第5155道答案: 8’6227/9030
第5156道答案: 4’40708/47959
第5157道答案: 9’12816413/32241020
第5158道答案: 20’8473115/20217392
第5159道答案: 1’7913/9072
第5160道答案: 205666574/308826945
第5161道答案: 8’10193/60555
第5162道答案: 3’7952331/27268480
第5163道答案: 933/28336
第5164道答案: 1’18427/50836
第5165道答案: 1’741823689/985632673
第5166道答案: 18’34301/39320
第5167道答案: 2’85142/227589
第5168道答案: 62586/127865
第5169道答案: 17340/77437
第5170道答案: 2’115354098/188779895
第5171道答案: 1’111084337/1678003770
第5172道答案: 3310/64379
第5173道答案: 2’16484/21525
第5174道答案: 1’241729571/512432055
第5175道答案: 607/2868
第5176道答案: 409349822/572527677
第5177道答案: 179602433/198902376
第5178道答案: 4’440123/2535870
第5179道答案: 277875/795146
第5180道答案: 32223/101152
第5181道答案: 1’15533/32880
第5182道答案: 1’341711674/425126447
第5183道答案: 1’2762701/788967620
第5184道答案: 4’30229357/44394610
第5185道答案: 26’5429561/48915100
第5186道答案: 3536/10791
第5187道答案: 74’325/373
第5188道答案: 63492/152221
第5189道答案: 13818794/80331525
第5190道答案: 2723817/2975170
第5191道答案: 1’64919333/132440455
第5192道答案: 153’1939/4680
第5193道答案: 1’7847/14948
第5194道答案: 1’337536773/1730427140
第5195道答案: 2’3597442/12154813
第5196道答案: 191260943/974688000
第5197道答案: 40’325/453
第5198道答案: 10537/138400
第5199道答案: 51621587/60832064
第5200道答案: 1’1547424/3164567
第5201道答案: 3’3552/9101
第5202道答案: 3’12521/21620
第5203道答案: 1’7967/16848
第5204道答案: 1’233147/1217401
第5205道答案: 15170765/128826082
第5206道答案: 5540029/7973397
第5207道答案: 4320/114437
第5208道答案: 5’4842982/4984745
第5209道答案: 1’392437/1043328
第5210道答案: 11203/26325
第5211道答案: 25’798803/1017668
第5212道答案: 3765850/6097917
第5213道答案: 1’289671242/337602269
第5214道答案: 1390307/1612764
第5215道答案: 246624535/734001116
第5216道答案: 2’927429/4182868
第5217道答案: 2’4183/50502
第5218道答案: 22’54997577/91710266
第5219道答案: 60636/322385
第5220道答案: 1’581243467/1178141640
第5221道答案: 1’178849/408114
第5222道答案: 29295/1004456
第5223道答案: 25039557/1602686602
第5224道答案: 2’179383341/458434816
第5225道答案: 2’108517/121011
第5226道答案: 59782103/1088300826
第5227道答案: 455508/590221
第5228道答案: 448477/486400
第5229道答案: 33’2950847/4267956
第5230道答案: 17’14583641/18151252
第5231道答案: 68/10197
第5232道答案: 201720/684917
第5233道答案: 2’6541/3030912
第5234道答案: 193842/656363
第5235道答案: 3’148678391/645175579
第5236道答案: 1’165607927/871027545
第5237道答案: 97211/536172
第5238道答案: 4’2383/3281
第5239道答案: 4914195/87233461
第5240道答案: 496/15639
第5241道答案: 86047557/239553935
第5242道答案: 2’145447947/449001436
第5243道答案: 2’263654/343545
第5244道答案: 1’46381169/75238800
第5245道答案: 9’896/18527
第5246道答案: 1’1949/6160
第5247道答案: 2’2115193/21201296
第5248道答案: 1’233606751/567007436
第5249道答案: 9’61677/69635
第5250道答案: 8’7727/8366
第5251道答案: 3’190242901/337272664
第5252道答案: 1’1591071/2759930
第5253道答案: 2’4750291/259381338
第5254道答案: 293583229/1958288054
第5255道答案: 3’253613726/600921579
第5256道答案: 1’19453/50700
第5257道答案: 3’49511/330252
第5258道答案: 4’517/17286
第5259道答案: 4421456/5824965
第5260道答案: 546353441/2142173862
第5261道答案: 1164007/2319020
第5262道答案: 8113/17088
第5263道答案: 2’2550619/3901576
第5264道答案: 85’27145/88242
第5265道答案: 2’81251/136981
第5266道答案: 2’55800/124057
第5267道答案: 20358/179963
第5268道答案: 17878899/346774432
第5269道答案: 1’186200857/202023917
第5270道答案: 835/1692
第5271道答案: 114’430599/855232
第5272道答案: 1’47693/104305
第5273道答案: 5’1649641/3367138
第5274道答案: 1442/6683
第5275道答案: 66179087/75666320
第5276道答案: 4’1282349/4550832
第5277道答案: 18’68033243/80782881
第5278道答案: 12’453612/2574395
第5279道答案: 2’1603/18912
第5280道答案: 401073167/819485184
第5281道答案: 1’1082911/5436396
第5282道答案: 34229121/38636780
第5283道答案: 10’86267089/109215828
第5284道答案: 2’2861816/7334825
第5285道答案: 1’10741/14217
第5286道答案: 7’111423/614680
第5287道答案: 2’2683771/2943822
第5288道答案: 3’97519/220088
第5289道答案: 3’1185/6578
第5290道答案: 8’387/5675
第5291道答案: 9518028/13976857
第5292道答案: 264646/5244679
第5293道答案: 1’887653/73951324
第5294道答案: 1’96/323
第5295道答案: 1’22844942/27456649
第5296道答案: 18881/83226
第5297道答案: 3’325/18323
第5298道答案: 2’8311/203797
第5299道答案: 6587/7960
第5300道答案: 3’201/776
第5301道答案: 13’347101/376980
第5302道答案: 2727/13888
第5303道答案: 3’3854327/21332960
第5304道答案: 149973408/266478905
第5305道答案: 600577/817740
第5306道答案: 40505850/134929481
第5307道答案: 1’13857163/689292063
第5308道答案: 4’6799/9770
第5309道答案: 2’25319/333064
第5310道答案: 470/11847
第5311道答案: 1’2126002/2250171
第5312道答案: 4’87/920
第5313道答案: 2088035/60095504
第5314道答案: 6670/57771
第5315道答案: 1’54627682/261917795
第5316道答案: 3’830219/911400
第5317道答案: 2’330438796/628699167
第5318道答案: 8’35599/38948
第5319道答案: 149/31725
第5320道答案: 10541/16212
第5321道答案: 5’11564507/21730828
第5322道答案: 1’1340018/4985085
第5323道答案: 4’22649/74424
第5324道答案: 36363234/43199335
第5325道答案: 10’10731838/24921675
第5326道答案: 3’4153/11254
第5327道答案: 1’1097738/1390515
第5328道答案: 293099392/325438155
第5329道答案: 4214/9389
第5330道答案: 2’4471811/7964995
第5331道答案: 31’84161/156780
第5332道答案: 28209820/36525331
第5333道答案: 3526/50325
第5334道答案: 26’202218/379639
第5335道答案: 320741/753912
第5336道答案: 3’112/655
第5337道答案: 10939544/13398711
第5338道答案: 3’10399/15355
第5339道答案: 3’32749/45850
第5340道答案: 3’145084/197985
第5341道答案: 12’2117/9234
第5342道答案: 4’41182444/76465557
第5343道答案: 4’15133/16272
第5344道答案: 2’409723/2036706
第5345道答案: 132’12515/65108
第5346道答案: 8’21321/72700
第5347道答案: 52’36280891/36875811
第5348道答案: 1’24975228/107566745
第5349道答案: 1’118055/586146
第5350道答案: 2’349649/4173600
第5351道答案: 8’7853/9720
第5352道答案: 1’140452/175143
第5353道答案: 1647/145775
第5354道答案: 29’997862/18293661
第5355道答案: 65’65956/79625
第5356道答案: 1’24821/52896
第5357道答案: 144013/408442
第5358道答案: 4’12505089/92686172
第5359道答案: 2’211361/489060
第5360道答案: 121589/128754
第5361道答案: 2’8182385/48402621
第5362道答案: 7’6005/6156
第5363道答案: 7’907/5600
第5364道答案: 68404838/127408411
第5365道答案: 100621843/1896336829
第5366道答案: 24’21719/122535
第5367道答案: 4’5675669/11634392
第5368道答案: 143219/289920
第5369道答案: 2’2015419/12240096
第5370道答案: 1546831087/1582017168
第5371道答案: 39916039/90086220
第5372道答案: 13402510/26847693
第5373道答案: 2’19493/63684
第5374道答案: 1’31883/36049
第5375道答案: 5’22734/137297
第5376道答案: 12456310/15507099
第5377道答案: 127177/211515
第5378道答案: 1’918743/3283500
第5379道答案: 260147/4661472
第5380道答案: 779201/838051
第5381道答案: 1’10754871/14313403
第5382道答案: 6135646/11508705
第5383道答案: 169043/551784
第5384道答案: 2’21961/109620
第5385道答案: 46348/65693
第5386道答案: 1’17999/62205
第5387道答案: 83099781/94639855
第5388道答案: 1’2391/60286
第5389道答案: 3’1050919/8890632
第5390道答案: 1001254/17510555
第5391道答案: 5’50702/173635
第5392道答案: 8000/23751
第5393道答案: 325308267/837142700
第5394道答案: 164’5422935/12231146
第5395道答案: 83’32/135
第5396道答案: 11482921/13643792
第5397道答案: 67’387373/2067111
第5398道答案: 2’95/229
第5399道答案: 2’8603/56604
第5400道答案: 2’103/70964
第5401道答案: 52312/65415
第5402道答案: 82594/125171
第5403道答案: 1’2597963/7112629
第5404道答案: 4’1453/3752
第5405道答案: 3’820367/1110435
第5406道答案: 1’497549/552544
第5407道答案: 70406/76015
第5408道答案: 38369/64980
第5409道答案: 1’248057213/815290024
第5410道答案: 1’25190/64101
第5411道答案: 5’29651/127635
第5412道答案: 10’2602914/4098367
第5413道答案: 1’10222225/166166822
第5414道答案: 2’70054003/125477748
第5415道答案: 3’8010263/11340971
第5416道答案: 206159467/241504692
第5417道答案: 89’1133/4896
第5418道答案: 1’446619/561236
第5419道答案: 3’11929/123137
第5420道答案: 1’9445/14097
第5421道答案: 122’2920459/3837394
第5422道答案: 21145319/139313680
第5423道答案: 12198902/20425125
第5424道答案: 10’839785/2260596
第5425道答案: 9’707021/1007703
第5426道答案: 13007951/46659084
第5427道答案: 135’89627/127959
第5428道答案: 17395/256243
第5429道答案: 13’5515/6386
第5430道答案: 18277867/22129821
第5431道答案: 3’1163975/4186809
第5432道答案: 6’31/348
第5433道答案: 459911697/650709868
第5434道答案: 142815889/307740565
第5435道答案: 38’370/1449
第5436道答案: 339187/477204
第5437道答案: 13’2083/28356
第5438道答案: 13’196111/1762167
第5439道答案: 370249703/744252288
第5440道答案: 42229/76591
第5441道答案: 3’813/6649
第5442道答案: 1’333879/372410
第5443道答案: 5’15354063/16889612
第5444道答案: 53/481
第5445道答案: 4’2534578/4593435
第5446道答案: 33’1005/6496
第5447道答案: 5436394/27446253
第5448道答案: 38197669/120220820
第5449道答案: 6’3399/3604
第5450道答案: 3’981457/1928181
第5451道答案: 21’26731/37000
第5452道答案: 9’317401/444239
第5453道答案: 8’56012686/217626179
第5454道答案: 2479/202391
第5455道答案: 67734690/173397667
第5456道答案: 3’830/2567
第5457道答案: 1’111589805/381902484
第5458道答案: 192358250/299233927
第5459道答案: 29156833/46536168
第5460道答案: 12853/86075
第5461道答案: 13701600/181652851
第5462道答案: 1’6517/20033
第5463道答案: 1’208795/881342
第5464道答案: 1’349390007/360989413
第5465道答案: 365’25/28
第5466道答案: 1564/13091
第5467道答案: 149438299/220463552
第5468道答案: 1’24619/159120
第5469道答案: 7148422/13336539
第5470道答案: 13’6551/22035
第5471道答案: 2’7741/10370
第5472道答案: 3’5089/20838
第5473道答案: 2’1450487/8028944
第5474道答案: 1’41281/66750
第5475道答案: 433163/790972
第5476道答案: 1’513882819/1461922348
第5477道答案: 26793/647020
第5478道答案: 3’26975627/55976528
第5479道答案: 1197328170/1807335647
第5480道答案: 569349/680150
第5481道答案: 1’69200155/158437756
第5482道答案: 13788005/279680066
第5483道答案: 1’941973403/1092180468
第5484道答案: 2’41403/174760
